algo,k,entity,time,algo-k
81x1x1x1,50,reducescatter,0.0350158,81x1x1x1-50
81x1x1x1,50,gram,0.00504296,81x1x1x1-50
81x1x1x1,50,krp,0,81x1x1x1-50
81x1x1x1,50,mttkrp,1.13896,81x1x1x1-50
81x1x1x1,50,multittv,0.343398,81x1x1x1-50
81x1x1x1,50,nnls,0.0358665,81x1x1x1-50
27x3x1x1,50,d,0,27x3x1x1-50
27x3x1x1,50,comm,0.0738409,27x3x1x1-50
27x3x1x1,50,comp,1.36171,27x3x1x1-50
27x3x1x1,50,allgather,0.0203286,27x3x1x1-50
27x3x1x1,50,allreduce,0.0183836,27x3x1x1-50
27x3x1x1,50,reducescatter,0.0351287,27x3x1x1-50
27x3x1x1,50,gram,0.00463039,27x3x1x1-50
27x3x1x1,50,krp,0,27x3x1x1-50
27x3x1x1,50,mttkrp,1.13096,27x3x1x1-50
27x3x1x1,50,multittv,0.183855,27x3x1x1-50
27x3x1x1,50,nnls,0.0389965,27x3x1x1-50
9x9x1x1,50,d,0,9x9x1x1-50
9x9x1x1,50,comm,0.0823138,9x9x1x1-50
9x9x1x1,50,comp,1.30496,9x9x1x1-50
9x9x1x1,50,allgather,0.016934,9x9x1x1-50
9x9x1x1,50,allreduce,0.0248447,9x9x1x1-50
9x9x1x1,50,reducescatter,0.040535,9x9x1x1-50
9x9x1x1,50,gram,0.00442305,9x9x1x1-50
9x9x1x1,50,krp,0,9x9x1x1-50
9x9x1x1,50,mttkrp,1.12497,9x9x1x1-50
9x9x1x1,50,multittv,0.129494,9x9x1x1-50
9x9x1x1,50,nnls,0.0427563,9x9x1x1-50
9x3x3x1,50,d,0,9x3x3x1-50
9x3x3x1,50,comm,0.0672441,9x3x3x1-50
9x3x3x1,50,comp,1.30187,9x3x3x1-50
9x3x3x1,50,allgather,0.0157845,9x3x3x1-50
9x3x3x1,50,allreduce,0.0182506,9x3x3x1-50
9x3x3x1,50,reducescatter,0.0332091,9x3x3x1-50
9x3x3x1,50,gram,0.00431347,9x3x3x1-50
9x3x3x1,50,krp,0,9x3x3x1-50
9x3x3x1,50,mttkrp,1.12576,9x3x3x1-50
9x3x3x1,50,multittv,0.128238,9x3x3x1-50
9x3x3x1,50,nnls,0.0410975,9x3x3x1-50
3x3x3x3,50,d,0,3x3x3x3-50
3x3x3x3,50,comm,0.0517875,3x3x3x3-50
3x3x3x3,50,comp,1.95097,3x3x3x3-50
3x3x3x3,50,allgather,0.0103259,3x3x3x3-50
3x3x3x3,50,allreduce,0.0143234,3x3x3x3-50
3x3x3x3,50,reducescatter,0.0271382,3x3x3x3-50
3x3x3x3,50,gram,0.00466034,3x3x3x3-50
3x3x3x3,50,krp,0,3x3x3x3-50
3x3x3x3,50,mttkrp,1.58804,3x3x3x3-50
3x3x3x3,50,multittv,0.317445,3x3x3x3-50
3x3x3x3,50,nnls,0.038761,3x3x3x3-50
